"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
"A708865","Kitzi","8/5/2015 19:03","Adoption","","Dog","Spayed Female","2 years","Miniature Poodle Mix","Black"
"A716769","Jake","12/23/2015 16:09","Adoption","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Chocolate"
"A714277","Percy","10/20/2015 17:24","Return_to_owner","","Dog","Neutered Male","2 years","Australian Kelpie Mix","Tan"
"A699876","","4/4/2015 13:27","Transfer","Partner","Dog","Intact Female","1 month","Rat Terrier Mix","Tricolor"
"A687108","Jace","10/26/2014 12:28","Return_to_owner","","Dog","Intact Male","1 year","Boxer","Brown Brindle/White"
"A700034","","4/10/2015 0:00","Transfer","Partner","Dog","Spayed Female","5 years","Miniature Schnauzer Mix","Buff/Gray"
"A705711","Frederick","7/12/2015 18:26","Adoption","","Dog","Neutered Male","8 years","Boxer Mix","Black/White"
"A715232","B","11/7/2015 14:56","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Blue"
"A483647","Bear","4/6/2014 13:03","Return_to_owner","","Dog","Neutered Male","13 years","Shih Tzu Mix","White/Gray"
"A682853","Daphne","7/17/2014 18:40","Adoption","","Dog","Spayed Female","1 year","Dachshund Mix","Black/White"
"A667958","","11/29/2013 13:55","Transfer","Partner","Dog","Intact Female","5 months","Pointer Mix","White/Brown"
"A673560","","3/3/2014 15:51","Transfer","Partner","Dog","Neutered Male","2 years","Rat Terrier Mix","White/Black"
"A666723","Krypto","4/15/2015 7:37","Return_to_owner","","Dog","Neutered Male","4 years","Miniature Poodle Mix","White"
"A522050","Spanky","8/20/2014 15:38","Return_to_owner","","Dog","Neutered Male","10 years","Shih Tzu","Buff/Gray"
"A677679","Kash","5/26/2014 19:10","Adoption","Foster","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Black"
"A712937","Artemis","10/4/2015 17:44","Adoption","","Dog","Spayed Female","10 months","Great Pyrenees Mix","White/Tricolor"
"A716572","Hydro","11/22/2015 15:39","Transfer","Partner","Dog","Intact Male","6 months","Golden Retriever Mix","Red"
"A683065","Dakota","7/8/2014 17:40","Return_to_owner","","Dog","Neutered Male","3 years","Lhasa Apso Mix","Cream"
"A687985","Duke","4/11/2015 17:19","Return_to_owner","","Dog","Neutered Male","3 years","American Bulldog Mix","White/Black Brindle"
"A685490","Jake","8/8/2014 13:51","Euthanasia","Suffering","Dog","Intact Male","11 years","Pit Bull Mix","White/Brown"
"A702511","Mika","5/26/2015 15:25","Adoption","","Dog","Spayed Female","1 year","Rottweiler Mix","Black/Brown"
"A672698","Binks","2/19/2014 16:01","Transfer","Partner","Dog","Neutered Male","6 years","Dachshund Mix","Red/Black"
"A709199","","8/8/2015 18:10","Adoption","","Dog","Neutered Male","1 month","Chihuahua Shorthair Mix","White/Tan"
"A682663","Hansel","7/18/2014 19:12","Adoption","","Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","Black/Tan"
"A704245","","6/7/2015 18:21","Adoption","","Dog","Spayed Female","2 months","Black Mouth Cur Mix","Tan/White"
"A676533","Cookie","4/11/2014 18:44","Return_to_owner","","Dog","Spayed Female","13 years","Australian Cattle Dog Mix","Black/White"
"A678737","","5/13/2014 14:50","Transfer","Partner","Dog","Intact Male","1 weeks","Chihuahua Shorthair Mix","White/Black"
"A673115","Minnie","6/5/2014 16:34","Transfer","Partner","Dog","Spayed Female","3 years","Yorkshire Terrier","Black/Red"
"A690655","Trooper","2/17/2015 14:24","Adoption","Foster","Dog","Neutered Male","2 years","Australian Cattle Dog Mix","Tricolor"
"A713445","Zz","10/8/2015 11:09","Return_to_owner","","Dog","Intact Female","8 years","Labrador Retriever Mix","Chocolate"
"A698621","Oso","5/3/2015 17:39","Adoption","","Dog","Neutered Male","9 years","Alaskan Husky Mix","Black/White"
"A666516","","11/8/2013 15:55","Transfer","Partner","Dog","Intact Male","2 years","American Pit Bull Terrier Mix","Brown/White"
"A665687","Petey","11/30/2013 13:42","Adoption","","Dog","Neutered Male","1 year","Dachshund Mix","Fawn"
"A702605","7","5/18/2015 15:22","Return_to_owner","","Dog","Neutered Male","4 years","Jack Russell Terrier Mix","Black/Brown"
"A690222","Rubio","10/25/2014 17:51","Adoption","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Yellow"
"A717420","Marley","12/19/2015 16:13","Transfer","Partner","Dog","Neutered Male","10 months","Labrador Retriever Mix","Yellow"
"A672343","","2/13/2014 18:11","Adoption","","Dog","Spayed Female","5 years","Maltese Mix","White/Tan"
"A699498","Teddy Bear","3/30/2015 13:58","Adoption","","Dog","Spayed Female","4 years","Cairn Terrier Mix","Brown"
"A675043","Negro","4/1/2014 19:16","Return_to_owner","","Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","Black"
"A705552","","7/1/2015 13:00","Transfer","Partner","Dog","Neutered Male","2 years","Pit Bull Mix","Brown Brindle/White"
"A676711","Rosie","4/20/2014 16:07","Transfer","Partner","Dog","Spayed Female","4 years","Boston Terrier","Brown Brindle/White"
"A699047","","3/21/2015 18:40","Euthanasia","Medical","Dog","Unknown","2 months","Chihuahua Shorthair Mix","Black/White"
"A718982","Indy","1/14/2016 18:56","Adoption","","Dog","Neutered Male","3 months","Great Pyrenees Mix","Tan/White"
"A687630","Nelly","9/14/2014 18:11","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Brown/Black"
"A718350","Trooper","12/29/2015 15:43","Return_to_owner","","Dog","Neutered Male","3 years","Doberman Pinsch Mix","Black/Tan"
"A684502","Chin-Ston","8/2/2014 13:09","Adoption","","Dog","Neutered Male","10 months","Pug Mix","Tan"
"A705453","Susan B","6/21/2015 17:30","Adoption","","Dog","Spayed Female","2 months","Chihuahua Shorthair Mix","Tan/White"
"A689636","Bentley","10/12/2014 17:48","Adoption","","Dog","Neutered Male","1 year","Border Collie Mix","White/Tricolor"
"A668350","","12/4/2013 17:29","Transfer","Partner","Dog","Intact Female","1 month","Australian Shepherd Mix","Black/Tricolor"
"A709427","Lucy","8/13/2015 18:28","Return_to_owner","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Tan/White"
"A716209","Olive","11/16/2015 16:44","Return_to_owner","","Dog","Spayed Female","1 year","English Pointer Mix","Chocolate/White"
"A713552","Prince","10/27/2015 15:01","Transfer","Partner","Dog","Intact Male","10 months","Pit Bull Mix","Blue/White"
"A690427","Kookie","10/21/2014 16:03","Return_to_owner","","Dog","Spayed Female","3 years","Feist Mix","Tricolor"
"A696259","Carson","4/5/2015 14:33","Adoption","","Dog","Neutered Male","2 years","Pit Bull Mix","Blue/White"
"A674461","","3/13/2014 14:58","Transfer","Partner","Dog","Intact Male","5 days","Pit Bull Mix","Sable/White"
"A651127","Zion","10/22/2014 12:10","Return_to_owner","","Dog","Neutered Male","2 years","Pit Bull Mix","Brown Brindle/White"
"A681672","Gotti","6/19/2014 18:44","Return_to_owner","","Dog","Intact Male","3 years","Pit Bull","Blue/White"
"A666548","Rusty","11/10/2013 17:05","Adoption","","Dog","Neutered Male","6 months","Australian Cattle Dog Mix","Red Tick"
"A693968","","12/27/2014 11:09","Return_to_owner","","Dog","Intact Female","2 weeks","Pit Bull Mix","Blue/White"
"A676567","Blue","4/12/2014 11:31","Return_to_owner","","Dog","Neutered Male","1 year","Catahoula Mix","Red/White"
"A666247","Weto","11/5/2013 11:26","Return_to_owner","","Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","Tan"
"A594900","","10/10/2015 15:45","Return_to_owner","","Dog","Spayed Female","4 years","Chihuahua Longhair Mix","Black/White"
"A719899","Max","2/4/2016 18:44","Adoption","","Dog","Neutered Male","5 years","Chihuahua Shorthair Mix","Brown"
"A669769","Skip","1/1/2014 12:09","Transfer","Partner","Dog","Neutered Male","2 years","Jack Russell Terrier Mix","White/Tan"
"A695778","Leo","8/12/2015 18:59","Adoption","","Dog","Neutered Male","3 years","Manchester Terrier Mix","Black/Tan"
"A698659","Ike","6/13/2015 18:29","Adoption","Foster","Dog","Neutered Male","2 years","Pit Bull Mix","Brown/Tan"
"A711212","","9/7/2015 17:45","Adoption","","Dog","Spayed Female","2 months","German Shorthair Pointer Mix","Black/White"
"A703432","Lancelot","5/28/2015 18:19","Adoption","","Dog","Neutered Male","2 months","Great Pyrenees Mix","White/Black"
"A674789","Ricky","3/22/2014 13:56","Adoption","","Dog","Intact Male","16 years","Chihuahua Shorthair Mix","Tan"
"A619991","Brooster","12/9/2013 12:36","Return_to_owner","","Dog","Neutered Male","8 years","Pit Bull Mix","Brown Brindle"
"A693368","Lily","12/7/2014 11:23","Return_to_owner","","Dog","Spayed Female","7 years","Golden Retriever Mix","Yellow/White"
"A669535","Malachi","3/2/2014 16:21","Euthanasia","Aggressive","Dog","Neutered Male","5 years","Australian Cattle Dog Mix","Black/White"
"A716502","Leo","11/25/2015 12:10","Transfer","Partner","Dog","Intact Male","8 months","Chihuahua Shorthair Mix","White/Black"
"A712342","Skyla","9/22/2015 11:47","Euthanasia","Suffering","Dog","Spayed Female","14 years","Catahoula Mix","Brown Merle"
"A687531","Buddy","12/6/2014 18:01","Adoption","","Dog","Neutered Male","10 years","Labrador Retriever Mix","Black/Tan"
"A693984","","12/22/2014 17:20","Transfer","Partner","Dog","Neutered Male","10 months","Belgian Malinois Mix","Tan/Black"
"A558754","Angelo","7/17/2015 14:13","Return_to_owner","","Dog","Neutered Male","8 years","Miniature Schnauzer","Gray"
"A688262","","11/15/2014 17:29","Adoption","Foster","Dog","Neutered Male","1 month","Cairn Terrier Mix","Sable/White"
"A689539","","10/9/2014 19:17","Adoption","","Dog","Spayed Female","2 months","Catahoula Mix","Brown/White"
"A671279","Preston","2/4/2014 14:28","Transfer","Partner","Dog","Neutered Male","2 months","Catahoula Mix","White/Tan"
"A667881","","11/30/2013 19:13","Adoption","","Dog","Neutered Male","11 months","Dachshund Mix","Black/Tan"
"A688985","Chester","10/12/2014 14:18","Adoption","","Dog","Neutered Male","10 months","German Shorthair Pointer Mix","Chocolate/White"
"A670677","Noodles","1/14/2014 11:20","Return_to_owner","","Dog","Neutered Male","10 years","Collie Smooth Mix","White"
"A692512","Dallas","11/30/2014 15:52","Adoption","","Dog","Neutered Male","1 year","Blue Lacy Mix","Blue/White"
"A680178","","5/30/2014 17:35","Transfer","Partner","Dog","Intact Male","1 month","Australian Cattle Dog Mix","Brown"
"A687553","","9/10/2014 17:38","Adoption","","Dog","Spayed Female","3 years","Maltese Mix","White"
"A711213","Princess","9/11/2015 18:40","Adoption","","Dog","Spayed Female","1 year","Labrador Retriever Mix","Tan/White"
"A700819","","4/22/2015 14:35","Transfer","Partner","Dog","Spayed Female","13 years","Miniature Poodle Mix","White"
"A678591","Parker","6/7/2014 15:25","Adoption","","Dog","Spayed Female","3 months","Cardigan Welsh Corgi Mix","Tricolor"
"A605129","Ollie","1/29/2016 16:21","Transfer","Partner","Dog","Neutered Male","7 years","Labrador Retriever Mix","Black/White"
"A607727","Bella","5/22/2014 15:37","Return_to_owner","","Dog","Spayed Female","6 years","Boxer Mix","White"
"A671428","Little Foot","11/12/2014 19:32","Return_to_owner","","Dog","Neutered Male","2 years","Swiss Hound Mix","Tan/White"
"A669455","Juneau","1/4/2014 16:57","Adoption","","Dog","Spayed Female","2 years","Rat Terrier Mix","Tricolor"
"A679617","Angela","6/11/2014 16:58","Transfer","Partner","Dog","Spayed Female","2 years","Great Pyrenees Mix","White"
"A656968","Litle Girl","11/11/2013 15:13","Euthanasia","Aggressive","Dog","Spayed Female","3 years","Australian Cattle Dog Mix","Blue Tick"
"A690132","Pocky","10/19/2014 18:34","Adoption","","Dog","Neutered Male","5 months","Chihuahua Shorthair Mix","Black/Tan"
"A328422","Cru","3/17/2014 11:55","Return_to_owner","","Dog","Neutered Male","10 years","Parson Russell Terrier Mix","White/Black"
"A716944","Vixen","12/7/2015 14:07","Transfer","Partner","Dog","Spayed Female","1 year","Labrador Retriever Mix","Black"
"A600779","Oso","3/7/2015 17:06","Adoption","","Dog","Neutered Male","6 years","Border Collie Mix","White/Gray"
"A691980","Phoebe","1/9/2015 16:52","Adoption","","Dog","Spayed Female","2 years","Labrador Retriever Mix","White/Tan"
"A687254","Caesar","9/3/2014 13:52","Transfer","Partner","Dog","Neutered Male","1 year","Miniature Schnauzer Mix","Gray"
"A718750","Lucy","1/10/2016 17:40","Adoption","","Dog","Spayed Female","2 months","Labrador Retriever Mix","Black/White"
"A674376","Bandido","3/13/2014 11:20","Return_to_owner","","Dog","Neutered Male","1 year","Labrador Retriever Mix","White/Tan"
"A682586","Finley","6/30/2014 14:31","Return_to_owner","","Dog","Spayed Female","2 years","Staffordshire","Black/White"
"A709274","Symphonia","8/11/2015 12:44","Return_to_owner","","Dog","Spayed Female","1 year","Black Mouth Cur Mix","Fawn"
"A670692","Paully","1/21/2014 12:45","Transfer","Partner","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","White/Brown"
"A674708","Lucky","4/22/2015 11:08","Euthanasia","Behavior","Dog","Neutered Male","2 years","American Pit Bull Terrier Mix","White/Tan"
"A712235","Bella","9/25/2015 18:55","Return_to_owner","","Dog","Spayed Female","4 years","Pit Bull Mix","White/Tan"
"A688401","Buddy","10/6/2014 14:02","Transfer","Partner","Dog","Neutered Male","3 years","Cardigan Welsh Corgi Mix","Brown"
"A665223","Boss","10/16/2013 11:24","Transfer","Partner","Dog","Intact Male","1 year","Golden Retriever","Gold/Buff"
"A674275","Luna","3/20/2014 14:42","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Black/Tan"
"A701950","Concho","5/6/2015 19:18","Return_to_owner","","Dog","Spayed Female","4 years","Dachshund Mix","Black/White"
"A682136","Titan","7/6/2014 15:39","Return_to_owner","","Dog","Neutered Male","3 years","Bulldog Mix","Brown Brindle/White"
"A717918","Blueberry","12/28/2015 17:40","Return_to_owner","","Dog","Spayed Female","3 years","Chihuahua Shorthair Mix","Black/White"
"A693367","Jojo","4/13/2015 17:35","Adoption","","Dog","Neutered Male","2 years","Miniature Poodle Mix","Apricot"
"A677047","Terra","4/22/2014 11:21","Transfer","Partner","Dog","Intact Male","3 years","Shih Tzu","White/Black"
"A719599","","1/28/2016 17:01","Adoption","","Dog","Neutered Male","1 year","Miniature Poodle Mix","White"
"A684488","Mikey","9/24/2014 12:56","Return_to_owner","","Dog","Neutered Male","2 years","Australian Shepherd Mix","Black Brindle/White"
"A715010","Boxochocolat","12/30/2015 11:12","Transfer","Partner","Dog","Spayed Female","2 years","Shih Tzu Mix","Gray/Tan"
"A679345","Lana","5/24/2014 12:13","Adoption","","Dog","Spayed Female","1 year","Belgian Malinois Mix","Tan/Black"
"A694818","Bubbles","4/12/2015 10:51","Return_to_owner","","Dog","Spayed Female","6 years","Pit Bull Mix","Tan"
"A704262","","6/7/2015 18:55","Adoption","","Dog","Spayed Female","2 months","Labrador Retriever Mix","Blue"
"A714195","Sandy","10/20/2015 19:01","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Tan/White"
"A666970","Happy","11/29/2013 17:15","Adoption","","Dog","Neutered Male","7 years","Chihuahua Shorthair Mix","Black"
"A679216","Grover","5/18/2014 12:05","Return_to_owner","","Dog","Neutered Male","6 years","Australian Shepherd Mix","Tricolor/Black"
"A677043","Tilly May","4/24/2014 15:22","Transfer","Partner","Dog","Intact Female","7 months","Border Collie Mix","Tricolor/White"
"A676464","Byron","5/2/2014 15:03","Adoption","","Dog","Neutered Male","7 years","Chihuahua Shorthair Mix","Chocolate/White"
"A664176","","10/6/2013 13:37","Transfer","Partner","Dog","Intact Female","5 months","Labrador Retriever Mix","Black"
"A664258","Sylvio","10/1/2013 12:27","Return_to_owner","","Dog","Neutered Male","7 years","Weimaraner Mix","Silver"
"A696806","Davis","2/17/2015 19:02","Adoption","","Dog","Neutered Male","8 months","Dachshund Mix","Brown/White"
"A688253","Olive","9/21/2014 17:43","Adoption","","Dog","Spayed Female","1 year","Labrador Retriever Mix","Black"
"A709467","Little Dog","10/17/2015 17:28","Return_to_owner","","Dog","Neutered Male","6 years","Silky Terrier Mix","Silver/Red"
"A678731","Tiger","5/19/2014 18:21","Return_to_owner","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Black"
"A692275","Bo Bo","11/20/2014 17:07","Return_to_owner","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","White/Brown"
"A693709","Roxy","12/29/2014 14:08","Adoption","","Dog","Spayed Female","10 months","Pointer Mix","Brown/White"
"A704303","Koko","6/9/2015 16:49","Euthanasia","Aggressive","Dog","Intact Female","1 year","Queensland Heeler Mix","Red Merle"
"A675643","Maxine","3/31/2014 12:36","Return_to_owner","","Dog","Spayed Female","2 years","Border Collie Mix","Black/White"
"A687963","","9/29/2014 16:53","Adoption","","Dog","Spayed Female","2 months","Australian Cattle Dog Mix","Black/White"
"A696382","Izzy","8/1/2015 12:18","Adoption","","Dog","Spayed Female","2 years","Pit Bull Mix","Black/White"
"A711459","Hershey","9/20/2015 15:53","Adoption","","Dog","Neutered Male","2 years","Labrador Retriever Mix","Chocolate/White"
"A695347","Brownie","1/22/2015 12:53","Return_to_owner","","Dog","Neutered Male","2 years","German Shepherd Mix","Tan/Black"
"A703416","Marley","5/26/2015 16:58","Return_to_owner","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Black"
"A686416","Lady","8/30/2014 17:16","Adoption","","Dog","Spayed Female","2 months","Labrador Retriever Mix","Black/White"
"A675805","","4/5/2014 17:34","Adoption","","Dog","Spayed Female","1 year","Siberian Husky Mix","Sable/Tan"
"A666170","","11/3/2013 17:44","Adoption","","Dog","Spayed Female","4 months","Chihuahua Shorthair Mix","Black/White"
"A648948","Amazon","7/4/2014 17:22","Return_to_owner","","Dog","Spayed Female","5 years","Pit Bull Mix","White/Tan"
"A719068","Marty","1/31/2016 0:00","Transfer","Partner","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Brown"
"A684455","Jimmy Page","7/24/2014 13:38","Return_to_owner","","Dog","Intact Male","4 years","Miniature Schnauzer Mix","Silver/Tan"
"A689910","Ella","10/21/2014 16:20","Transfer","Partner","Dog","Spayed Female","1 year","Boxer Mix","Brown/White"
"A478206","Kobe","8/24/2015 17:23","Return_to_owner","","Dog","Neutered Male","8 years","Miniature Schnauzer Mix","Black"
"A713387","Rocky","1/16/2016 12:10","Return_to_owner","","Dog","Neutered Male","1 year","Pit Bull Mix","White/Blue"
"A713762","Reno","10/19/2015 17:35","Adoption","","Dog","Neutered Male","8 months","Queensland Heeler Mix","Black/Blue Tick"
"A693479","Kiki","12/13/2014 17:33","Adoption","","Dog","Spayed Female","4 years","Flat Coat Retriever Mix","Black"
"A665147","","10/14/2013 15:03","Transfer","Partner","Dog","Intact Female","1 year","Dachshund Mix","Brown/White"
"A697282","Dez","4/14/2015 16:43","Adoption","","Dog","Neutered Male","5 years","Labrador Retriever Mix","Black/White"
"A694853","","1/5/2015 18:17","Died","In Kennel","Dog","Intact Female","3 months","Pit Bull Mix","Brown Brindle"
"A648685","Hog","9/20/2015 17:06","Return_to_owner","","Dog","Neutered Male","4 years","Pit Bull Mix","Brown Brindle/White"
"A713521","Pluto","10/12/2015 12:15","Transfer","Partner","Dog","Intact Male","8 months","Labrador Retriever Mix","Brown/White"
"A607107","Bo","11/16/2013 12:52","Return_to_owner","","Dog","Neutered Male","3 years","Labrador Retriever Mix","Yellow"
"A670785","Mu̱eca","10/20/2014 12:32","Adoption","","Dog","Spayed Female","1 year","Siberian Husky Mix","Gray/White"
"A666515","Lamb Chop","11/3/2013 18:36","Return_to_owner","","Dog","Neutered Male","6 years","Maltese Mix","White"
"A700076","Debo","4/12/2015 17:05","Transfer","Partner","Dog","Neutered Male","1 year","Australian Cattle Dog Mix","White/Tricolor"
"A674479","","3/18/2014 18:08","Transfer","Partner","Dog","Spayed Female","2 years","Maltese Mix","White"
"A695604","Riley","1/22/2015 18:49","Return_to_owner","","Dog","Neutered Male","5 months","Chihuahua Shorthair Mix","Brown/White"
"A715698","Gilbert","11/29/2015 18:26","Adoption","","Dog","Neutered Male","7 years","Pit Bull Mix","Chocolate/White"
"A707265","Daisy","7/10/2015 18:10","Return_to_owner","","Dog","Spayed Female","2 years","Chow Chow Mix","Cream"
"A675053","Peanut","3/26/2014 17:36","Adoption","","Dog","Neutered Male","4 months","Labrador Retriever Mix","Tan"
"A699882","Betty","4/10/2015 19:12","Adoption","","Dog","Spayed Female","2 years","American Bulldog Mix","Brown/White"
"A701784","Bailey","5/8/2015 17:21","Adoption","","Dog","Spayed Female","3 months","Pit Bull Mix","Brown Brindle/White"
"A669487","Kiowa","12/22/2013 15:07","Return_to_owner","","Dog","Spayed Female","3 years","Labrador Retriever Mix","Tan"
"A711403","Annie","9/10/2015 15:45","Adoption","","Dog","Spayed Female","2 months","Chihuahua Shorthair Mix","Tan/White"
"A700015","Nookie","4/8/2015 12:25","Return_to_owner","","Dog","Spayed Female","1 year","Miniature Schnauzer","Black/White"
"A715307","Cowboy","11/9/2015 18:13","Adoption","","Dog","Neutered Male","7 years","Labrador Retriever Mix","Chocolate"
"A681864","Raton","6/26/2014 8:57","Transfer","Partner","Dog","Neutered Male","3 months","Chihuahua Shorthair Mix","Tan/White"
"A715141","Crunch","12/10/2015 16:50","Return_to_owner","","Dog","Neutered Male","6 months","Neapolitan Mastiff Mix","Fawn"
"A717006","","12/6/2015 14:02","Transfer","Partner","Dog","Neutered Male","2 months","Plott Hound Mix","Brown Brindle/White"
"A677752","King","4/29/2014 11:31","Return_to_owner","","Dog","Intact Male","2 years","Pit Bull Mix","Black"
"A717285","Marty","12/5/2015 18:25","Return_to_owner","","Dog","Intact Male","3 years","Boston Terrier","Black Brindle/White"
"A697916","Fritzy","3/7/2015 12:23","Transfer","Partner","Dog","Intact Female","5 months","Dutch Shepherd Mix","Tricolor"
"A704063","Bubba","6/4/2015 18:32","Return_to_owner","","Dog","Neutered Male","2 years","Chow Chow Mix","Red"
"A686021","Stanley","8/20/2014 15:33","Euthanasia","Suffering","Dog","Intact Male","6 months","Pit Bull Mix","Blue/White"
"A649365","Barley","5/4/2014 16:46","Adoption","Foster","Dog","Neutered Male","2 years","Pit Bull Mix","Black/White"
"A680076","Dalton","7/6/2014 16:51","Adoption","","Dog","Neutered Male","1 year","Manchester Terrier Mix","Black/Brown"
"A689533","Obie","10/16/2014 11:34","Transfer","Partner","Dog","Neutered Male","1 year","Australian Kelpie Mix","Black/Brown"
"A678907","Tyron","7/11/2014 7:15","Adoption","Foster","Dog","Neutered Male","1 month","Labrador Retriever Mix","Tricolor"
"A346884","Dolly","8/11/2015 13:44","Euthanasia","Suffering","Dog","Spayed Female","11 years","Bernese Mountain Dog","Tricolor"
"A713158","Lucerito","10/3/2015 13:09","Euthanasia","Suffering","Dog","Intact Female","14 years","Chihuahua Shorthair Mix","White/Brown"
"A691743","Silly","11/12/2014 11:37","Transfer","Partner","Dog","Intact Female","2 years","Shih Tzu Mix","Tan"
"A673629","Queenie","3/12/2014 15:49","Adoption","","Dog","Spayed Female","10 years","Yorkshire Terrier","Tan/Gray"
"A684816","Tejota","9/3/2014 14:53","Transfer","Partner","Dog","Neutered Male","11 months","Chihuahua Shorthair Mix","Brown/Black"
"A687394","","9/8/2014 18:04","Adoption","","Dog","Neutered Male","5 months","Cardigan Welsh Corgi Mix","Black/Brown"
"A650850","Mili","10/16/2015 12:14","Transfer","Partner","Dog","Intact Female","2 years","Pomeranian Mix","Buff"
"A526144","Tiny","7/2/2015 11:46","Return_to_owner","","Dog","Neutered Male","8 years","St. Bernard Rough Coat","Tricolor"
"A700551","Jasmine","4/30/2015 15:24","Adoption","","Dog","Spayed Female","3 months","Pointer Mix","Blue/White"
"A683057","Lem Lem","7/10/2014 17:39","Adoption","","Dog","Spayed Female","9 years","Chihuahua Shorthair Mix","Black/Tan"
"A676960","Derek","7/8/2014 13:57","Return_to_owner","","Dog","Neutered Male","1 year","Pit Bull Mix","Fawn/White"
"A670728","","1/16/2014 17:50","Transfer","Partner","Dog","Intact Female","4 weeks","German Shepherd Mix","Sable/White"
"A710512","Henry","12/29/2015 10:21","Adoption","Foster","Dog","Neutered Male","7 years","Dachshund Mix","Red"
"A664608","Rosco","10/28/2013 17:44","Euthanasia","Behavior","Dog","Intact Male","3 years","Pit Bull Mix","White"
"A670509","Dingo","4/11/2014 18:08","Adoption","","Dog","Neutered Male","1 year","Australian Cattle Dog Mix","Brown/White"
"A700100","Trouble","4/8/2015 15:00","Return_to_owner","","Dog","Neutered Male","8 years","Dachshund Mix","Red"
"A714775","Mimi","11/1/2015 0:00","Transfer","Partner","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Black/Tan"
"A668229","","1/7/2014 11:39","Adoption","Foster","Dog","Spayed Female","2 months","Australian Shepherd Mix","White/Brown"
"A703375","","5/27/2015 14:18","Transfer","Partner","Dog","Intact Female","5 years","Australian Cattle Dog Mix","Blue Merle"
"A678233","","5/22/2014 13:36","Transfer","Partner","Dog","Intact Male","1 year","Boxer Mix","Red/White"
"A674070","Louie","3/17/2014 17:17","Adoption","","Dog","Neutered Male","6 years","Chihuahua Shorthair Mix","Tricolor"
"A674507","Grizzly","3/28/2014 17:54","Transfer","Partner","Dog","Neutered Male","2 years","Australian Shepherd Mix","Chocolate/Tan"
"A673546","Poncho","3/8/2014 13:40","Transfer","Partner","Dog","Neutered Male","3 years","Newfoundland Mix","Black"
"A692560","Eva","11/29/2014 18:13","Adoption","","Dog","Spayed Female","10 months","Chihuahua Shorthair Mix","Brown Brindle"
"A698334","Jake","3/14/2015 11:53","Adoption","","Dog","Neutered Male","5 years","Great Pyrenees Mix","White"
"A698560","","5/9/2015 12:35","Adoption","","Dog","Spayed Female","1 month","Labrador Retriever Mix","Tricolor"
"A703320","Remus","6/9/2015 17:38","Adoption","","Dog","Neutered Male","3 months","Catahoula Mix","White/Blue"
"A527170","Olive","1/27/2015 11:56","Euthanasia","Aggressive","Dog","Spayed Female","6 years","Pit Bull Mix","Black/Brown Brindle"
"A672803","Whopper","2/21/2014 10:14","Transfer","Partner","Dog","Intact Male","1 month","Chihuahua Shorthair Mix","Tan/Black"
"A597837","Toby","8/23/2014 17:15","Adoption","","Dog","Neutered Male","3 years","Miniature Schnauzer Mix","Black/White"
"A650214","Kya","4/10/2015 18:17","Adoption","","Dog","Spayed Female","2 years","Siberian Husky","Brown/White"
"A670057","Brownie","1/5/2014 16:50","Return_to_owner","","Dog","Neutered Male","2 years","Chow Chow Mix","Red"
"A668784","","12/13/2013 16:14","Transfer","Partner","Dog","Intact Male","7 months","Staffordshire Mix","Black/White"
"A708328","","8/1/2015 12:36","Transfer","Partner","Dog","Neutered Male","10 years","Miniature Poodle Mix","White"
"A710922","Bailey","8/30/2015 15:21","Return_to_owner","","Dog","Spayed Female","3 years","American Bulldog Mix","Tan/White"
"A711972","","9/16/2015 11:12","Transfer","Partner","Dog","Intact Male","2 months","Collie Smooth Mix","Brown/White"
"A675663","","4/5/2014 13:54","Transfer","Partner","Dog","Intact Female","5 months","Pit Bull Mix","Blue/White"
"A684915","Yogi","8/6/2014 18:50","Adoption","","Dog","Neutered Male","3 years","Maltese Mix","White"
"A696481","","2/9/2015 18:00","Transfer","Partner","Dog","Spayed Female","5 months","Dachshund Mix","Black/Tan"
"A668742","","12/29/2013 18:29","Adoption","Foster","Dog","Spayed Female","2 months","Jack Russell Terrier Mix","White/Buff"
"A718140","China","12/28/2015 18:54","Adoption","","Dog","Spayed Female","1 year","Miniature Schnauzer Mix","Black/Brown"
"A670198","Juicy","4/16/2014 17:53","Return_to_owner","","Dog","Spayed Female","2 years","Pit Bull Mix","Blue/White"
